time_step,gps_error_m,dead_reckoning_error_m,q_magnav_error_m,q_magnav_uncertainty_m,gnss_residual_m,gps_trusted,magnetic_measurement_nt,true_map_field_nt
36,20.778072177380544,117.57617501150246,9.523887129307651,16.158944816261112,18.436951027706268,True,49954.271533247666,49953.90679818914
37,18.74121888859205,118.64663576042935,12.682356563836583,15.98044285787773,18.597297418941643,True,49952.73550783045,49952.41968001206
38,6.1833211511510635,121.98407137312616,10.84914473688991,15.976047779859158,14.623551980209527,True,49950.335279753526,49951.11310947373
39,26.93910230689115,125.96978202792904,6.0784084915450425,16.777003230612433,37.91182378967937,True,49952.85397992888,49949.92459494785
40,16.717201954004857,128.05187218014404,10.3747586106494,16.339066015181764,10.40719064331229,True,49948.49258398943,49948.94671640447
41,8.704980030382536,130.76969454070078,3.2986451191602706,16.442197181738173,19.59529688045328,True,49947.36487557238,49948.124352020954
42,26.909937783209536,131.4359262161164,21.30842803936231,16.16576987572839,12.163927490926957,True,49945.02049697103,49947.5198253741
43,11.131196558427636,139.62100145107362,21.55340000446315,15.934586958321889,24.32542834533382,True,49943.853045784046,49947.094834758616
44,33.798335542996945,145.03246677065678,6.736074572032192,15.494335998364768,63.45226250544598,True,49946.27242966654,49946.87906093513
45,12.934021573804506,154.46920492618364,11.489905353159964,15.628006001862403,11.011869104560436,True,49947.96077960189,49946.84381766677
46,3.970566203341761,164.77618718839446,14.226090241377682,15.804954325092677,27.64603163336709,True,49945.08223521099,49947.00770048096
47,30.44178223921631,163.42504040191992,1.9531473916456839,15.84523239481957,44.45605439503976,True,49946.30415983524,49947.314040529884
48,23.40955452408917,165.47853541065203,13.014590949642322,16.29553614916732,19.08143696999814,True,49945.17602011957,49947.81653802894
49,28.903040623810707,169.75518003646658,19.56834429010025,15.943007739782667,28.785644543228212,True,49946.21321290608,49948.40050046811
50,14.964547418615558,170.14403402219818,15.430114354396187,16.064859654874073,18.690335869614707,True,49947.42642063617,49949.16596847339
